ID,FilePath,Description,Label
video_001,data/Action/angry/0022.mp4,Action - angry emotion video,angry
video_002,data/ScholarReport/angry/0208.mp4,ScholarReport - angry emotion video,angry
video_003,data/History/angry/0294.mp4,History - angry emotion video,angry
video_004,data/Contest/disgust/0002.mp4,Contest - disgust emotion video,disgust
video_005,data/Experiment/disgust/0001.mp4,Experiment - disgust emotion video,disgust
video_006,data/Action/disgust/0017.mp4,Action - disgust emotion video,disgust
video_007,data/School/fear/0141.mp4,School - fear emotion video,fear
video_008,data/Social/fear/0016.mp4,Social - fear emotion video,fear
video_009,data/Contest/fear/0052.mp4,Contest - fear emotion video,fear
video_010,data/Social/happy/0050.mp4,Social - happy emotion video,happy
video_011,data/Talkshow/happy/0364.mp4,Talkshow - happy emotion video,happy
video_012,data/Talkshow/happy/0263.mp4,Talkshow - happy emotion video,happy
video_013,data/Speech/neutral/0042.mp4,Speech - neutral emotion video,neutral
video_014,data/Contest/neutral/0321.mp4,Contest - neutral emotion video,neutral
video_015,data/Talkshow/neutral/0450.mp4,Talkshow - neutral emotion video,neutral
video_016,data/Interview/sad/0156.mp4,Interview - sad emotion video,sad
video_017,data/ElegantArt/sad/0219.mp4,ElegantArt - sad emotion video,sad
video_018,data/Terror/sad/0121.mp4,Terror - sad emotion video,sad
video_019,data/Contest/surprise/0069.mp4,Contest - surprise emotion video,surprise
video_020,data/ElegantArt/surprise/0067.mp4,ElegantArt - surprise emotion video,surprise
video_021,data/Contest/surprise/0042.mp4,Contest - surprise emotion video,surprise
