ID,FilePath,Description,Label
video_0001,data/Action/angry/0020.mp4,Action - angry emotion video,angry
video_0002,data/Action/angry/0022.mp4,Action - angry emotion video,angry
video_0003,data/Action/angry/0023.mp4,Action - angry emotion video,angry
video_0004,data/Action/angry/0025.mp4,Action - angry emotion video,angry
video_0005,data/Action/angry/0042.mp4,Action - angry emotion video,angry
video_0006,data/Action/angry/0043.mp4,Action - angry emotion video,angry
video_0007,data/Action/angry/0044.mp4,Action - angry emotion video,angry
video_0008,data/Action/angry/0050.mp4,Action - angry emotion video,angry
video_0009,data/Action/angry/0052.mp4,Action - angry emotion video,angry
video_0010,data/Action/angry/0053.mp4,Action - angry emotion video,angry
video_0011,data/Action/disgust/0004.mp4,Action - disgust emotion video,disgust
video_0012,data/Action/disgust/0017.mp4,Action - disgust emotion video,disgust
video_0013,data/Action/disgust/0023.mp4,Action - disgust emotion video,disgust
video_0014,data/Action/disgust/0025.mp4,Action - disgust emotion video,disgust
video_0015,data/Action/disgust/0026.mp4,Action - disgust emotion video,disgust
video_0016,data/Action/disgust/0027.mp4,Action - disgust emotion video,disgust
video_0017,data/Action/disgust/0029.mp4,Action - disgust emotion video,disgust
video_0018,data/Action/disgust/0030.mp4,Action - disgust emotion video,disgust
video_0019,data/Action/disgust/0031.mp4,Action - disgust emotion video,disgust
video_0020,data/Action/disgust/0036.mp4,Action - disgust emotion video,disgust
video_0021,data/Action/fear/0002.mp4,Action - fear emotion video,fear
video_0022,data/Action/fear/0004.mp4,Action - fear emotion video,fear
video_0023,data/Action/fear/0007.mp4,Action - fear emotion video,fear
video_0024,data/Action/fear/0008.mp4,Action - fear emotion video,fear
video_0025,data/Action/fear/0011.mp4,Action - fear emotion video,fear
video_0026,data/Action/fear/0013.mp4,Action - fear emotion video,fear
video_0027,data/Action/fear/0015.mp4,Action - fear emotion video,fear
video_0028,data/Action/fear/0018.mp4,Action - fear emotion video,fear
video_0029,data/Action/fear/0019.mp4,Action - fear emotion video,fear
video_0030,data/Action/fear/0028.mp4,Action - fear emotion video,fear
video_0031,data/Action/happy/0009.mp4,Action - happy emotion video,happy
video_0032,data/Action/happy/0023.mp4,Action - happy emotion video,happy
video_0033,data/Action/happy/0035.mp4,Action - happy emotion video,happy
video_0034,data/Action/happy/0051.mp4,Action - happy emotion video,happy
video_0035,data/Action/happy/0060.mp4,Action - happy emotion video,happy
video_0036,data/Action/happy/0069.mp4,Action - happy emotion video,happy
video_0037,data/Action/happy/0078.mp4,Action - happy emotion video,happy
video_0038,data/Action/happy/0107.mp4,Action - happy emotion video,happy
video_0039,data/Action/happy/0176.mp4,Action - happy emotion video,happy
video_0040,data/Action/happy/0204.mp4,Action - happy emotion video,happy
video_0041,data/Action/neutral/0034.mp4,Action - neutral emotion video,neutral
video_0042,data/Action/neutral/0077.mp4,Action - neutral emotion video,neutral
video_0043,data/Action/neutral/0078.mp4,Action - neutral emotion video,neutral
video_0044,data/Action/neutral/0082.mp4,Action - neutral emotion video,neutral
video_0045,data/Action/neutral/0088.mp4,Action - neutral emotion video,neutral
video_0046,data/Action/neutral/0091.mp4,Action - neutral emotion video,neutral
video_0047,data/Action/neutral/0126.mp4,Action - neutral emotion video,neutral
video_0048,data/Action/neutral/0127.mp4,Action - neutral emotion video,neutral
video_0049,data/Action/neutral/0154.mp4,Action - neutral emotion video,neutral
video_0050,data/Action/neutral/0194.mp4,Action - neutral emotion video,neutral
video_0051,data/Action/sad/0009.mp4,Action - sad emotion video,sad
video_0052,data/Action/sad/0012.mp4,Action - sad emotion video,sad
video_0053,data/Action/sad/0018.mp4,Action - sad emotion video,sad
video_0054,data/Action/sad/0021.mp4,Action - sad emotion video,sad
video_0055,data/Action/sad/0031.mp4,Action - sad emotion video,sad
video_0056,data/Action/sad/0032.mp4,Action - sad emotion video,sad
video_0057,data/Action/sad/0040.mp4,Action - sad emotion video,sad
video_0058,data/Action/sad/0042.mp4,Action - sad emotion video,sad
video_0059,data/Action/sad/0065.mp4,Action - sad emotion video,sad
video_0060,data/Action/sad/0067.mp4,Action - sad emotion video,sad
video_0061,data/Action/surprise/0009.mp4,Action - surprise emotion video,surprise
video_0062,data/Action/surprise/0013.mp4,Action - surprise emotion video,surprise
video_0063,data/Action/surprise/0014.mp4,Action - surprise emotion video,surprise
video_0064,data/Action/surprise/0015.mp4,Action - surprise emotion video,surprise
video_0065,data/Action/surprise/0019.mp4,Action - surprise emotion video,surprise
video_0066,data/Action/surprise/0034.mp4,Action - surprise emotion video,surprise
video_0067,data/Action/surprise/0035.mp4,Action - surprise emotion video,surprise
video_0068,data/Action/surprise/0036.mp4,Action - surprise emotion video,surprise
video_0069,data/Action/surprise/0055.mp4,Action - surprise emotion video,surprise
video_0070,data/Action/surprise/0056.mp4,Action - surprise emotion video,surprise
video_0071,data/Argue/angry/0054.mp4,Argue - angry emotion video,angry
video_0072,data/Argue/angry/0121.mp4,Argue - angry emotion video,angry
video_0073,data/Argue/angry/0167.mp4,Argue - angry emotion video,angry
