ID,FilePath,Description,Label
video_001,data/Terror_Sad_0163.mp4,Terror - Sad emotion video,Sad
video_002,data/School_Disgust_0101.mp4,School - Disgust emotion video,Disgust
video_003,data/Crisis_Disgust_0002.mp4,Crisis - Disgust emotion video,Disgust
video_004,data/Interview_Angry_0247.mp4,Interview - Angry emotion video,Angry
video_005,data/History_Neutral_0366.mp4,History - Neutral emotion video,Neutral
video_006,data/Contest_Surprise_0023.mp4,Contest - Surprise emotion video,Surprise
video_007,data/Business_Disgust_0082.mp4,Business - Disgust emotion video,Disgust
video_008,data/War_Angry_0595.mp4,War - Angry emotion video,Angry
video_009,data/Business_Neutral_0117.mp4,Business - Neutral emotion video,Neutral
video_010,data/School_Disgust_0099.mp4,School - Disgust emotion video,Disgust
video_011,data/Conflict_Surprise_0036.mp4,Conflict - Surprise emotion video,Surprise
video_012,data/ElegantArt_Angry_0115.mp4,ElegantArt - Angry emotion video,Angry
video_013,data/ScholarReport_Fear_0015.mp4,ScholarReport - Fear emotion video,Fear
video_014,data/Conflict_Neutral_0327.mp4,Conflict - Neutral emotion video,Neutral
video_015,data/ScholarReport_Fear_0006.mp4,ScholarReport - Fear emotion video,Fear
video_016,data/Business_Disgust_0106.mp4,Business - Disgust emotion video,Disgust
video_017,data/School_Sad_0307.mp4,School - Sad emotion video,Sad
video_018,data/Contest_Happy_0575.mp4,Contest - Happy emotion video,Happy
video_019,data/History_Fear_0091.mp4,History - Fear emotion video,Fear
video_020,data/History_Fear_0180.mp4,History - Fear emotion video,Fear
video_021,data/War_Angry_0169.mp4,War - Angry emotion video,Angry
video_022,data/ScholarReport_Neutral_0314.mp4,ScholarReport - Neutral emotion video,Neutral
video_023,data/Social_Disgust_0015.mp4,Social - Disgust emotion video,Disgust
video_024,data/Contest_Neutral_0112.mp4,Contest - Neutral emotion video,Neutral
video_025,data/Terror_Fear_0116.mp4,Terror - Fear emotion video,Fear
video_026,data/History_Fear_0023.mp4,History - Fear emotion video,Fear
video_027,data/Conflict_Neutral_0091.mp4,Conflict - Neutral emotion video,Neutral
video_028,data/Conflict_Surprise_0144.mp4,Conflict - Surprise emotion video,Surprise
video_029,data/History_Angry_0390.mp4,History - Angry emotion video,Angry
video_030,data/Crime_Fear_0071.mp4,Crime - Fear emotion video,Fear
video_031,data/Terror_Sad_0013.mp4,Terror - Sad emotion video,Sad
video_032,data/Social_Surprise_0068.mp4,Social - Surprise emotion video,Surprise
video_033,data/Crime_Surprise_0098.mp4,Crime - Surprise emotion video,Surprise
video_034,data/Crime_Surprise_0023.mp4,Crime - Surprise emotion video,Surprise
video_035,data/Liveshow_Happy_0108.mp4,Liveshow - Happy emotion video,Happy
video_036,data/History_Happy_0040.mp4,History - Happy emotion video,Happy
video_037,data/War_Sad_0585.mp4,War - Sad emotion video,Sad
video_038,data/Talkshow_Fear_0034.mp4,Talkshow - Fear emotion video,Fear
video_039,data/Liveshow_Disgust_0045.mp4,Liveshow - Disgust emotion video,Disgust
video_040,data/DailyLife_Happy_0351.mp4,DailyLife - Happy emotion video,Happy
video_041,data/Terror_Sad_0410.mp4,Terror - Sad emotion video,Sad
video_042,data/Argue_Neutral_0066.mp4,Argue - Neutral emotion video,Neutral
video_043,data/Liveshow_Fear_0017.mp4,Liveshow - Fear emotion video,Fear
video_044,data/War_Sad_0579.mp4,War - Sad emotion video,Sad
video_045,data/Speech_Surprise_0119.mp4,Speech - Surprise emotion video,Surprise
video_046,data/OfficialEvent_Happy_0023.mp4,OfficialEvent - Happy emotion video,Happy
video_047,data/Talkshow_Angry_0078.mp4,Talkshow - Angry emotion video,Angry
video_048,data/War_Angry_0127.mp4,War - Angry emotion video,Angry
video_049,data/Social_Happy_0144.mp4,Social - Happy emotion video,Happy
video_050,data/History_Neutral_0047.mp4,History - Neutral emotion video,Neutral
video_051,data/Contest_Sad_0061.mp4,Contest - Sad emotion video,Sad
video_052,data/Talkshow_Fear_0017.mp4,Talkshow - Fear emotion video,Fear
video_053,data/Contest_Disgust_0007.mp4,Contest - Disgust emotion video,Disgust
video_054,data/Business_Sad_0169.mp4,Business - Sad emotion video,Sad
video_055,data/Interview_Disgust_0028.mp4,Interview - Disgust emotion video,Disgust
video_056,data/Contest_Surprise_0203.mp4,Contest - Surprise emotion video,Surprise
video_057,data/DailyLife_Happy_0019.mp4,DailyLife - Happy emotion video,Happy
video_058,data/Contest_Fear_0053.mp4,Contest - Fear emotion video,Fear
video_059,data/Liveshow_Disgust_0103.mp4,Liveshow - Disgust emotion video,Disgust
video_060,data/Crime_Surprise_0151.mp4,Crime - Surprise emotion video,Surprise
video_061,data/War_Sad_0155.mp4,War - Sad emotion video,Sad
video_062,data/School_Angry_0518.mp4,School - Angry emotion video,Angry
video_063,data/Contest_Neutral_0523.mp4,Contest - Neutral emotion video,Neutral
video_064,data/Argue_Fear_0070.mp4,Argue - Fear emotion video,Fear
video_065,data/Contest_Happy_0316.mp4,Contest - Happy emotion video,Happy
video_066,data/Conflict_Sad_0065.mp4,Conflict - Sad emotion video,Sad
video_067,data/Crime_Neutral_0250.mp4,Crime - Neutral emotion video,Neutral
video_068,data/School_Angry_0036.mp4,School - Angry emotion video,Angry
video_069,data/History_Disgust_0057.mp4,History - Disgust emotion video,Disgust
video_070,data/Interview_Angry_0014.mp4,Interview - Angry emotion video,Angry
video_071,data/School_Fear_0123.mp4,School - Fear emotion video,Fear
video_072,data/Liveshow_Neutral_0196.mp4,Liveshow - Neutral emotion video,Neutral
video_073,data/Contest_Surprise_0088.mp4,Contest - Surprise emotion video,Surprise
video_074,data/Terror_Angry_0273.mp4,Terror - Angry emotion video,Angry
video_075,data/DailyLife_Neutral_0004.mp4,DailyLife - Neutral emotion video,Neutral
video_076,data/Speech_Disgust_0018.mp4,Speech - Disgust emotion video,Disgust
video_077,data/Talkshow_Neutral_0308.mp4,Talkshow - Neutral emotion video,Neutral
video_078,data/Contest_Surprise_0216.mp4,Contest - Surprise emotion video,Surprise
video_079,data/Terror_Fear_0145.mp4,Terror - Fear emotion video,Fear
video_080,data/Crisis_Surprise_0036.mp4,Crisis - Surprise emotion video,Surprise
video_081,data/Argue_Angry_0228.mp4,Argue - Angry emotion video,Angry
video_082,data/ScholarReport_Neutral_0463.mp4,ScholarReport - Neutral emotion video,Neutral
video_083,data/DailyLife_Happy_0095.mp4,DailyLife - Happy emotion video,Happy
video_084,data/Argue_Angry_0255.mp4,Argue - Angry emotion video,Angry
video_085,data/Social_Disgust_0091.mp4,Social - Disgust emotion video,Disgust
video_086,data/War_Neutral_0436.mp4,War - Neutral emotion video,Neutral
video_087,data/War_Neutral_0030.mp4,War - Neutral emotion video,Neutral
video_088,data/History_Neutral_0032.mp4,History - Neutral emotion video,Neutral
video_089,data/Crisis_Sad_0086.mp4,Crisis - Sad emotion video,Sad
video_090,data/OfficialEvent_Angry_0300.mp4,OfficialEvent - Angry emotion video,Angry
video_091,data/History_Neutral_0008.mp4,History - Neutral emotion video,Neutral
video_092,data/Crisis_Happy_0104.mp4,Crisis - Happy emotion video,Happy
video_093,data/School_Angry_0279.mp4,School - Angry emotion video,Angry
video_094,data/DailyLife_Surprise_0022.mp4,DailyLife - Surprise emotion video,Surprise
video_095,data/Social_Happy_0002.mp4,Social - Happy emotion video,Happy
video_096,data/Terror_Fear_0260.mp4,Terror - Fear emotion video,Fear
video_097,data/Terror_Disgust_0000.mp4,Terror - Disgust emotion video,Disgust
video_098,data/Talkshow_Happy_0154.mp4,Talkshow - Happy emotion video,Happy
video_099,data/Interview_Neutral_0406.mp4,Interview - Neutral emotion video,Neutral
video_100,data/History_Surprise_0102.mp4,History - Surprise emotion video,Surprise
video_101,data/Social_Angry_0025.mp4,Social - Angry emotion video,Angry
video_102,data/ScholarReport_Happy_0155.mp4,ScholarReport - Happy emotion video,Happy
video_103,data/Contest_Disgust_0131.mp4,Contest - Disgust emotion video,Disgust
video_104,data/Talkshow_Fear_0007.mp4,Talkshow - Fear emotion video,Fear
video_105,data/Terror_Sad_0005.mp4,Terror - Sad emotion video,Sad
video_106,data/DailyLife_Surprise_0076.mp4,DailyLife - Surprise emotion video,Surprise
video_107,data/DailyLife_Happy_0117.mp4,DailyLife - Happy emotion video,Happy
video_108,data/Talkshow_Sad_0131.mp4,Talkshow - Sad emotion video,Sad
video_109,data/Action_Neutral_0197.mp4,Action - Neutral emotion video,Neutral
video_110,data/Crisis_Sad_0207.mp4,Crisis - Sad emotion video,Sad
video_111,data/School_Surprise_0043.mp4,School - Surprise emotion video,Surprise
video_112,data/Argue_Happy_0142.mp4,Argue - Happy emotion video,Happy
video_113,data/ElegantArt_Angry_0007.mp4,ElegantArt - Angry emotion video,Angry
video_114,data/Crisis_Angry_0189.mp4,Crisis - Angry emotion video,Angry
video_115,data/Action_Surprise_0016.mp4,Action - Surprise emotion video,Surprise
video_116,data/War_Sad_0033.mp4,War - Sad emotion video,Sad
video_117,data/Business_Sad_0069.mp4,Business - Sad emotion video,Sad
video_118,data/School_Angry_0026.mp4,School - Angry emotion video,Angry
video_119,data/School_Surprise_0232.mp4,School - Surprise emotion video,Surprise
video_120,data/Business_Disgust_0047.mp4,Business - Disgust emotion video,Disgust
video_121,data/Contest_Disgust_0100.mp4,Contest - Disgust emotion video,Disgust
video_122,data/Conflict_Disgust_0026.mp4,Conflict - Disgust emotion video,Disgust
video_123,data/School_Angry_0519.mp4,School - Angry emotion video,Angry
video_124,data/DailyLife_Sad_0357.mp4,DailyLife - Sad emotion video,Sad
video_125,data/School_Angry_0481.mp4,School - Angry emotion video,Angry
video_126,data/War_Neutral_0160.mp4,War - Neutral emotion video,Neutral
video_127,data/Medicine_Happy_0030.mp4,Medicine - Happy emotion video,Happy
video_128,data/History_Disgust_0058.mp4,History - Disgust emotion video,Disgust
video_129,data/ElegantArt_Sad_0288.mp4,ElegantArt - Sad emotion video,Sad
video_130,data/Medicine_Fear_0041.mp4,Medicine - Fear emotion video,Fear
video_131,data/School_Surprise_0225.mp4,School - Surprise emotion video,Surprise
video_132,data/ScholarReport_Disgust_0042.mp4,ScholarReport - Disgust emotion video,Disgust
video_133,data/War_Sad_0252.mp4,War - Sad emotion video,Sad
video_134,data/Conflict_Disgust_0125.mp4,Conflict - Disgust emotion video,Disgust
video_135,data/War_Angry_0450.mp4,War - Angry emotion video,Angry
video_136,data/Crime_Sad_0203.mp4,Crime - Sad emotion video,Sad
video_137,data/Argue_Happy_0248.mp4,Argue - Happy emotion video,Happy
video_138,data/Terror_Angry_0077.mp4,Terror - Angry emotion video,Angry
video_139,data/War_Surprise_0036.mp4,War - Surprise emotion video,Surprise
video_140,data/Contest_Disgust_0012.mp4,Contest - Disgust emotion video,Disgust
video_141,data/History_Sad_0063.mp4,History - Sad emotion video,Sad
video_142,data/DailyLife_Surprise_0040.mp4,DailyLife - Surprise emotion video,Surprise
video_143,data/Speech_Angry_0152.mp4,Speech - Angry emotion video,Angry
video_144,data/Contest_Happy_0374.mp4,Contest - Happy emotion video,Happy
video_145,data/Conflict_Sad_0368.mp4,Conflict - Sad emotion video,Sad
video_146,data/DailyLife_Fear_0033.mp4,DailyLife - Fear emotion video,Fear
video_147,data/OfficialEvent_Neutral_0140.mp4,OfficialEvent - Neutral emotion video,Neutral
video_148,data/Social_Surprise_0091.mp4,Social - Surprise emotion video,Surprise
video_149,data/Terror_Fear_0288.mp4,Terror - Fear emotion video,Fear
video_150,data/Talkshow_Happy_0198.mp4,Talkshow - Happy emotion video,Happy
video_151,data/History_Sad_0250.mp4,History - Sad emotion video,Sad
video_152,data/Social_Surprise_0078.mp4,Social - Surprise emotion video,Surprise
video_153,data/DailyLife_Disgust_0001.mp4,DailyLife - Disgust emotion video,Disgust
video_154,data/Conflict_Sad_0130.mp4,Conflict - Sad emotion video,Sad
video_155,data/Action_Happy_0152.mp4,Action - Happy emotion video,Happy
video_156,data/Speech_Sad_0198.mp4,Speech - Sad emotion video,Sad
video_157,data/Talkshow_Happy_0416.mp4,Talkshow - Happy emotion video,Happy
video_158,data/Social_Angry_0134.mp4,Social - Angry emotion video,Angry
video_159,data/Argue_Neutral_0383.mp4,Argue - Neutral emotion video,Neutral
video_160,data/Contest_Disgust_0024.mp4,Contest - Disgust emotion video,Disgust
video_161,data/Action_Happy_0178.mp4,Action - Happy emotion video,Happy
video_162,data/Speech_Fear_0035.mp4,Speech - Fear emotion video,Fear
video_163,data/Conflict_Angry_0379.mp4,Conflict - Angry emotion video,Angry
video_164,data/Conflict_Fear_0045.mp4,Conflict - Fear emotion video,Fear
